time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2021-10-16 19:01:37,29.4072021493363,-82.1690824754831,0,0,58.927193814804,58.927193814804,0,0,0,13,4,0,58.927193814804,0,0,0,0,0,0,92.3, -1.6, -3.4,0,0,364,364,364,1684,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
100,2021-10-16 19:01:37,29.407202150556,-82.1690824582332,0,0,58.927193814804,58.927193814804,0,0,0.0055007219608,13,4,0,58.927193814804,0,0,0.0055007219608,0,0,0,92.2, -1.6, -3.4,0,0,364,364,364,1684,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
200,2021-10-16 19:01:37,29.4072021816316,-82.1690824660021,0,0,58.927193814804,58.927193814804,0,0,0.0121621394968,13,4,0,58.927193814804,0,0,0.0121621394968,0,0,0,92.1, -1.6, -3.4,0,0,364,364,364,1684,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
300,2021-10-16 19:01:38,29.4072022113002,-82.1690824579437,0,0,58.927193814804,58.927193814804,0,0,0.0232846792228,13,4,0,58.927193814804,0,0,0.0232846792228,0,0,0,92.1, -1.6, -3.4,0,0,364,364,364,1684,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
400,2021-10-16 19:01:38,29.407202236375,-82.1690824601501,0,0,58.927193814804,58.927193814804,0,0,0.032127789742,13,4,0,58.927193814804,0,0,0.032127789742,0,0,0,92, -1.6, -3.4,0,0,364,364,364,1684,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,Setting new Return-To-Home altitude to 50m (164 ft). Data Recorder File Index is 147. Setting new Maximum Flight Altitude to 500m (1640 ft)
500,2021-10-16 19:01:38,29.4072022568739,-82.1690824456332,0,0,58.927193814804,58.927193814804,0,0,0.04036581494,13,4,0,58.927193814804,0,0,0.04036581494,0,0,0,91.9, -1.6, -3.4,0,0,364,364,364,1684,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
600,2021-10-16 19:01:38,29.4072022648565,-82.1690824138286,0,0,58.927193814804,58.927193814804,0,0,0.046480316448,13,4,0,58.927193814804,0,0,0.046480316448,0,0,0,91.9, -1.6, -3.4,0,0,364,364,364,1684,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
700,2021-10-16 19:01:38,29.4072022802551,-82.1690823778523,0,0,58.927193814804,58.927193814804,0,0,0.05696030366,13,4,0,58.927193814804,0,0,0.05696030366,0,0,0,91.9, -1.6, -3.4,0,0,364,364,364,1684,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
800,2021-10-16 19:01:38,29.4072022424442,-82.1690823601356,0,0,58.927193814804,58.927193814804,0,0,0.049980972728,13,4,0,58.927193814804,0,0,0.05696030366,0,0,0,91.8, -1.6, -3.4,0,0,636,433,493,1605,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
900,2021-10-16 19:01:38,29.4072022187373,-82.1690823370781,0,0,58.927193814804,58.927193814804,0,0,0.050757547556,13,4,0,58.927193814804,0,0,0.05696030366,0,0,0,91.9, -1.6, -3.4,0,0,1024,765,1024,965,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
1000,2021-10-16 19:01:38,29.407202180096,-82.1690823038045,0,0,58.927193814804,58.927193814804,0,0,0.055708335116,13,4,0,58.927193814804,0,0,0.05696030366,0,0,0,91.9, -1.6, -3.4,0,0,1024,961,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
1100,2021-10-16 19:01:38,29.4072021608999,-82.1690822733958,0,0,58.927193814804,58.927193814804,0,0,0.064369752716,13,4,0,58.927193814804,0,0,0.064369752716,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
